Player,3P%,MP,3PA,Round,Pick,DrftYr,College,From,To,Age,G,GS,AS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team
Nick Smith Jr.,0.451,571,113,1,27,2023,Arkansas,2023-24,2023-24,19,36,0,0,7.5,18.6,3.2,8.9,4.4,9.7,0.9,1.1,1.4,3.3,4.6,3.8,0.6,0.6,2.7,3.8,20.4,0.406,0.356,0.451,0.846,0.534,0.523,G,CHO
Marcus Sasser,0.431,761,130,1,25,2023,Houston,2023-24,2023-24,23,47,0,0,8.7,18.1,5.2,9.9,3.5,8.2,2.1,2.4,0.4,4.2,4.5,8.7,1.6,0.5,2.8,4,23.1,0.484,0.529,0.431,0.868,0.604,0.582,G,DET
Cason Wallace,0.409,1104,149,1,10,2023,Kentucky,2023-24,2023-24,20,53,9,0,6,12,3.4,5.5,2.7,6.5,1,1.1,1.4,3.7,5,3.1,1.6,1,1.1,4,15.7,0.502,0.611,0.409,0.846,0.627,0.613,G,OKC
Cam Whitmore,0.403,476,119,1,20,2023,Villanova,2023-24,2023-24,19,28,1,0,12.4,26,7.5,13.9,4.9,12.1,4.3,6.3,1.9,8.5,10.4,1.3,1.8,0.6,2.1,3.9,34,0.478,0.544,0.403,0.677,0.592,0.573,F,HOU
Brandon Miller,0.384,1443,276,1,2,2023,Alabama,2023-24,2023-24,21,46,40,0,9.6,21.7,6.1,12.4,3.6,9.3,2.8,3.5,1.3,4.9,6.3,3.6,1.3,0.8,2.6,4.1,25.7,0.444,0.489,0.384,0.824,0.553,0.526,F-G,CHO
Anthony Black,0.381,880,63,1,6,2023,Arkansas,2023-24,2023-24,20,48,29,0,4.8,9.8,3.5,6.3,1.3,3.5,2.2,3.4,1.3,4.5,5.8,4.3,1.4,0.9,2.3,5.1,13.3,0.494,0.558,0.381,0.656,0.587,0.563,G,ORL
Jordan Hawkins,0.381,969,247,1,14,2023,Connecticut,2023-24,2023-24,21,48,10,0,7.6,19,2.9,6.6,4.7,12.4,3.1,3.6,1.3,5.1,6.4,3.1,0.9,0.2,1.8,3,23.1,0.401,0.439,0.381,0.847,0.559,0.525,G,NOP
GG Jackson II,0.379,393,87,2,45,2023,South Carolina,2023-24,2023-24,19,21,1,0,9,20.8,4.9,10,4.1,10.8,4.2,6.1,2.5,6.3,8.8,2.2,1.5,1.5,2.1,2.7,26.3,0.435,0.494,0.379,0.694,0.562,0.533,F,MEM
Andre Jackson Jr.,0.368,481,38,2,36,2023,Connecticut,2023-24,2023-24,22,42,8,0,4.3,8.2,3,4.4,1.4,3.7,0.8,1.1,3.5,5.2,8.8,3.9,1.3,0.4,2.1,7.8,10.8,0.53,0.667,0.368,0.727,0.626,0.614,G,MIL
Brandin Podziemski,0.355,1152,141,1,19,2023,Santa Clara,2023-24,2023-24,20,44,13,0,7,15.3,4.9,9.4,2.1,5.9,1.4,2.2,2.8,7.9,10.7,6.9,1.6,0.3,2.2,3.6,17.5,0.456,0.52,0.355,0.642,0.537,0.525,G,GSW
Gradey Dick,0.337,477,89,1,13,2023,Kansas,2023-24,2023-24,20,32,1,0,5.5,14.5,2.4,5.4,3.1,9.1,2.3,2.6,1.3,4.1,5.4,3.9,1.7,0,2,4.5,16.4,0.38,0.453,0.337,0.92,0.526,0.486,G,TOR
Keyonte George,0.333,1143,243,1,16,2023,Baylor,2023-24,2023-24,20,47,16,0,7.1,18.3,3.7,8.1,3.4,10.2,4.8,5.9,0.6,5,5.6,8.3,0.8,0.2,3.9,2,22.4,0.386,0.453,0.333,0.821,0.536,0.479,G,UTA
Jaime Jaquez Jr.,0.331,1384,136,1,18,2023,UCLA,2023-24,2023-24,22,47,16,0,8.3,16.9,6.7,12,1.6,4.9,3.4,4.2,2,4.4,6.4,4.3,1.8,0.4,2.8,4,21.7,0.494,0.56,0.331,0.819,0.579,0.541,G-F,MIA
Kris Murray,0.321,431,56,1,23,2023,Iowa,2023-24,2023-24,23,32,1,0,5.2,12.9,3.2,6.5,2.1,6.4,0.9,1.4,2.4,4.7,7.1,2.6,2.8,0.8,1.9,3,13.4,0.407,0.491,0.321,0.667,0.499,0.487,F,POR
Julian Strawther,0.317,478,120,1,29,2023,Gonzaga,2023-24,2023-24,21,34,0,0,7.7,20.1,3.7,7.6,3.9,12.5,1.7,2.4,0.4,5,5.4,3.9,1.8,0.6,1.8,5,21,0.383,0.493,0.317,0.696,0.497,0.482,F,DEN
Kobe Brown,0.308,274,39,1,30,2023,Missouri,2023-24,2023-24,24,31,0,0,4.1,10.9,2,3.9,2.1,7,0.2,0.4,1.6,5.9,7.5,3,1.1,0.5,0.9,7.2,10.6,0.377,0.5,0.308,0.5,0.477,0.475,G-F,LAC
Toumani Camara,0.291,1212,127,2,52,2023,Dayton,2023-24,2023-24,23,51,31,0,5.2,12.4,3.7,7.3,1.5,5.1,2.1,2.9,3.8,6.1,9.8,2,2.1,0.9,2.4,5.2,14,0.42,0.511,0.291,0.718,0.511,0.48,F,POR
Ben Sheppard,0.274,333,62,1,26,2023,Belmont,2023-24,2023-24,22,31,0,0,4.8,13.1,2.4,4.4,2.4,8.7,1.7,2.1,1,4.5,5.5,3.4,2.1,0.1,0.8,5.8,13.7,0.366,0.548,0.274,0.8,0.487,0.457,G,IND
Olivier-Maxence Prosper,0.242,249,33,1,24,2023,Marquette,2023-24,2023-24,21,28,0,0,4.6,13.3,3.1,6.9,1.5,6.4,4.4,6.5,3.3,8.1,11.4,3.7,0.6,0.4,0.8,3.3,15.2,0.348,0.444,0.242,0.676,0.47,0.406,F,DAL
