Player,Team,Conference,GP,MPG,ORtg,USG,eFG%,TS%,ORB%,DRB%,AST%,TO%,FTM,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,BLK%,STL%,FTR,Class,Height,Number,PORPAG,Adj_O_Eff,Foul_rate,Year,ID,Hometown,Recruiting_Rank,A_TO_Rate,Rim_Made,Rim_Missed,Mid_Made,Mid_Missed,Rim%,Mid%,Dunks,Dunks_Attempts,Dunk%,Draft_Spot,DRTG,Adj_DRTG,D_PORPAG,stops,BPM,O_BPM,D_BPM,G_BPM,MPG,OG_BPM,DG_BPM,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,PTS_PG,Position_Advanced,3PT/100
Seth Towns,Howard,MEAC,19,68.7,111.2,22.5,46.2,52.39,4.3,18.1,14.8,11.6,71,87,0.816,39,106,0.368,43,118,0.364,1.7,1.7,38.8,Sr,6-9,31,2.74407,114.014,3.9,2024,47197,"Columbus, OH",74.4,1.48569034,18,39,21,67,0.4615,0.3134,3,4,0.75,,106.796,113.298,1.95352,116.586,0.624635,2.24066,-1.61603,1.05032,31.9048,2.18353,-1.13321,1.2381,5.2857,6.5238,2.4762,0.9048,0.5238,15.0476,Stretch 4,10.9811
Terrence Lewis,Grambling St.,SWAC,15,36.1,112.8,19.2,61.5,62.03,3.3,9.6,4.7,16.1,8,12,0.667,28,46,0.609,17,41,0.415,1.2,1.1,13.8,Sr,6-6,24,1.51912,113.028,3.5,2024,50284,"Milwaukee, WI",76.4,0.399976,18,27,10,19,0.6667,0.5263,2,2,1,,112.296,111.907,1.21411,36.8536,-1.88723,0.162121,-2.04935,1.60899,17.9444,2.67932,-1.07033,0.7222,1.4444,2.1667,0.3333,0.3889,0.1667,7.7778,Wing G,9.03027
Austin Williams,Rutgers,B10,17,34.5,88.5,16.6,52.9,50.14,5.1,12.5,7.5,22.6,10,29,0.345,29,55,0.527,5,14,0.357,2.3,1.3,42,Sr,6-4,24,-0.059103,88.105,4.1,2024,50387,"Roseland, NJ",,0.55002124,27,50,2,5,0.54,0.4,0,0,,,96.2214,90.95,2.47894,54.9307,-0.62073,-3.77544,3.15471,-0.716606,17.9412,-3.36757,2.65097,0.9412,2.0588,3,0.6471,0.4118,0.3529,4.8824,Wing G,2.62672
Avery Wilson,Southeastern Louisiana,Slnd,20,31.5,84,15.3,41.7,44.01,3.9,7.7,14.4,25.5,12,24,0.5,10,28,0.357,5,14,0.357,1,1.9,57.1,Sr,6-4,1,-0.4833,78.0074,5.1,2024,50574,"Forest Park, GA",49,1.15785014,9,20,1,8,0.45,0.125,0,0,,,112.292,113.546,0.765796,37.4533,-4.90657,-3.85004,-1.05653,-6.36063,12.9565,-5.78173,-0.578896,0.3478,0.9565,1.3043,0.9565,0.4783,0.1304,3.2174,Combo G,3.40307
Jalen Jordan,Middle Tennessee,CUSA,17,38.8,101.2,18.9,50.6,54.7,1.4,7.7,10.9,20.3,23,31,0.742,8,18,0.444,23,66,0.348,0,1.4,36.9,Sr,6-2,14,0.713031,100.36,1.6,2024,50785,"Conyers, GA",,0.9523207,3,8,5,10,0.375,0.5,0,0,,,108.111,109.057,1.3887,41.9581,-2.91095,-0.708852,-2.2021,-1.75278,17.9474,-0.636276,-1.11651,0.2632,1.3158,1.5789,1.0526,0.4211,0,6.4737,Combo G,12.6537
Cam Martin,Boise St.,MWC,20,42,102.2,20.3,51.4,54.76,8.1,19.8,24.9,27.6,24,37,0.649,29,51,0.569,5,20,0.25,1.6,1.9,52.1,Sr,6-9,31,1.07379,106.604,4.4,2024,50881,"Yukon, OK",,1.54055175,23,37,6,14,0.6216,0.4286,6,8,0.75,,99.0669,94.8774,2.21482,67.4184,4.47727,0.837425,3.63985,3.46694,17.8636,0.58472,2.88222,1.3182,3.2273,4.5455,2.5909,0.6364,0.2273,5.2273,Stretch 4,3.38823
Chuck O'Bannon Jr.,TCU,B12,19,28.7,139.2,16.3,56.8,62.94,8.3,15.5,10,5.3,32,40,0.8,18,35,0.514,13,31,0.419,3.7,2,60.6,Sr,6-7,5,2.16989,136.325,4.7,2024,51497,"Las Vegas, NV",91.2,4.00047514,12,19,6,16,0.6316,0.375,2,2,1,,97.6813,94.4327,1.68165,50.6572,7.62627,5.91619,1.71007,6.59038,13.5789,4.66782,1.92256,0.9474,1.8421,2.7895,0.8421,0.4737,0.4737,5.6316,Wing F,6.71166
Cam Bacote,Georgetown,BE,12,14.5,92.8,10.6,50,50,0.9,3,27.7,40.6,0,0,0,3,7,0.429,2,5,0.4,0,1.4,0,Sr,6-3,11,-0.226666,82.5557,2,2024,51897,"Hampton, VA",,2.11106666,3,7,0,0,0.4286,,0,0,,,116.423,117.87,0.459624,15.0084,-8.35651,-3.52231,-4.8342,-5.75229,10.25,-3.40137,-2.35092,0.0833,0.25,0.3333,1.5833,0.25,0,1,Pure PG,2.39078
Michael Hueitt Jr.,Pittsburgh,ACC,5,4.4,139.1,11.2,80,73.06,0,8.8,0,0,0,2,0,5,5,1,2,5,0.4,0,3,20,Sr,6-3,8,0.726708,115.911,5.1,2024,52277,"Fayetteville, NC",30.8,,4,4,1,1,1,1,0,0,,,100.188,104.644,0.715024,6.85163,0.471773,1.70267,-1.23089,1.99474,7.8,-1.59475,3.58949,0,0.6,0.6,0,0.4,0,3.2,Wing G,7.56833
Robby Carmody,Mercer,SC,19,44.5,92.2,22.4,48.2,52.35,2.2,7.8,9.2,22.9,32,46,0.696,27,62,0.435,17,47,0.362,1,1.7,42.2,Jr,6-4,11,0.282498,93.4063,4.7,2024,65443,"Mars, PA",83,0.51349745,23,47,4,15,0.4894,0.2667,1,2,0.5,,108.55,108.811,1.44665,52.1762,-4.4848,-2.87718,-1.60762,-5.32943,18.7273,-3.71621,-1.61323,0.4091,1.5,1.9091,0.8636,0.6818,0.1364,7.5455,Combo G,7.78219
