Player,3PA,G,From,To,Age,G,GS,AS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team
Alex Abrines,595,174,2016-17,2018-19,23-25,174,16,0,5.4,13.9,1.5,3.4,3.8,10.4,1.7,1.9,0.9,3.5,4.4,1.5,1.6,0.4,1.3,5.1,16.2,0.387,0.443,0.368,0.88,0.552,0.525,G-F,OKC
Precious Achiuwa,325,231,2020-21,2023-24,21-24,231,47,0,8,16.9,6.9,13.3,1.1,3.7,2.9,4.7,4.7,9.5,14.1,2.4,1.3,1.4,2.6,4.7,20,0.473,0.519,0.308,0.604,0.526,0.507,F,"MIA,NYK,TOR"
Quincy Acy,523,337,2012-13,2018-19,22-28,337,60,0,5.4,12.2,3.7,7.3,1.7,4.8,2.7,3.6,2.9,8.1,10.9,2,1.3,1.3,2,6.2,15.2,0.444,0.506,0.35,0.759,0.553,0.513,F-C,"BRK,DAL,NYK,PHO,SAC,TOR"
Steven Adams,15,706,2013-14,2022-23,20-29,706,641,0,7,11.9,7,11.8,0,0,2.8,5.2,6.7,8.2,14.9,2.8,1.6,1.7,2.6,4.5,16.7,0.587,0.589,0.067,0.536,0.591,0.587,C,"MEM,NOP,OKC"
Bam Adebayo,73,456,2017-18,2023-24,20-26,456,352,2,9.7,17.6,9.6,17.4,0,0.3,5.9,7.8,3.7,10.7,14.4,5.8,1.7,1.5,3.6,4.2,25.2,0.547,0.554,0.123,0.758,0.599,0.548,C-F,MIA
Arron Afflalo,2157,687,2008-09,2017-18,23-32,687,528,0,7.4,16.5,5.3,10.9,2.2,5.6,3.4,4.1,0.8,4.5,5.2,3.4,0.8,0.3,2.1,3.6,20.4,0.451,0.482,0.39,0.827,0.559,0.517,G-F,"DEN,DET,NYK,ORL,POR,SAC"
Ochai Agbaji,368,109,2022-23,2023-24,22-23,109,32,0,5.9,13.8,3.1,5.8,2.8,8,1.5,1.9,1.7,3.7,5.4,2.5,0.9,1,1.6,3.6,16.1,0.427,0.54,0.345,0.798,0.549,0.527,G,UTA
Alexis Ajinca,42,293,2008-09,2016-17,20-28,293,76,0,8.5,16.8,8.3,16.3,0.2,0.6,3.3,4.1,4.5,10.5,15.1,1.9,1.3,2.4,3.3,8.7,20.4,0.503,0.51,0.286,0.797,0.546,0.507,C-F,"CHA,DAL,NOP,TOR"
Santi Aldama,489,146,2021-22,2023-24,21-23,146,31,0,7.3,16.3,4.7,8.3,2.7,8,2.7,3.8,2.7,8.3,10.9,3,1.2,1.4,1.9,3.8,20,0.45,0.563,0.333,0.703,0.557,0.532,F,MEM
LaMarcus Aldridge,701,937,2008-09,2021-22,23-36,937,899,7,12.1,24.4,11.7,23.3,0.4,1.1,5.5,6.7,3.9,8.7,12.6,3.1,1.1,1.6,2.4,3.5,29.9,0.493,0.501,0.322,0.819,0.546,0.5,F-C,"BRK,POR,SAS"
Nickeil Alexander-Walker,1033,265,2019-20,2023-24,21-25,265,54,0,7.6,18.9,4.2,9,3.4,9.9,2.1,2.9,0.9,4.9,5.8,5.6,1.8,1,3,4.1,20.7,0.401,0.463,0.345,0.715,0.512,0.491,G,"MIN,NOP,UTA"
Grayson Allen,1494,306,2018-19,2023-24,23-28,306,213,0,6.6,14.8,2.7,5.3,3.9,9.5,2.6,3,1,4.7,5.7,3.6,1.3,0.5,1.8,3,19.7,0.448,0.514,0.41,0.865,0.612,0.579,G,"MEM,MIL,PHO,UTA"
Jarrett Allen,106,450,2017-18,2023-24,19-25,450,385,1,8.6,13.6,8.5,13.1,0.1,0.4,4.4,6.2,5.1,10.7,15.8,2.7,1.1,2.3,2.4,3.6,21.6,0.631,0.646,0.179,0.708,0.663,0.634,C-F,"BRK,CLE"
Lavoy Allen,15,388,2011-12,2016-17,22-27,388,87,0,6.1,13,6.1,12.8,0,0.1,1.4,2,5.3,8.3,13.6,2.8,0.9,1.6,1.9,5.2,13.6,0.471,0.474,0.133,0.682,0.491,0.472,F-C,"IND,PHI"
Ray Allen,2138,437,2008-09,2013-14,33-38,437,290,2,8.2,17.5,5,9.5,3.3,8,3.8,4.1,0.9,4.2,5.1,3.9,1.4,0.3,2.4,3,23.5,0.471,0.523,0.408,0.911,0.608,0.564,G,"BOS,MIA"
Tony Allen,289,584,2008-09,2017-18,27-36,584,369,0,7.6,15.9,7.3,14.8,0.3,1.1,3.5,5,3.2,5.5,8.7,3,3.5,1,3,5.4,19,0.477,0.493,0.263,0.687,0.522,0.486,G-F,"BOS,MEM,NOP"
Rafer Alston,499,129,2008-09,2009-10,32-33,129,114,0,6.4,17.3,4.1,10.5,2.3,6.8,2.9,3.9,0.6,4.2,4.9,8,2.2,0.3,3.2,3.3,18.1,0.372,0.392,0.341,0.744,0.476,0.439,G,"HOU,MIA,NJN,ORL"
