Player,GP,FT%,ORtg,3P%_NCAA,PORPAG,Adj_O_Eff,Mid%,O_BPM,PTS_PG,3PT/100,TS%,USG,Recruiting_Rank,Class,Year,Height (inches),NBA Adjusted 3P%
A.J. Price,67,73.03959328300724,110.85247524752475,39.04121016628663,3.9970936633663365,121.92132673267326,0.36635869759143624,5.5224193069306935,14.55441584158416,9.557912772277229,54.31861386138614,24.17128712871287,1,4,2009,74,0.377352700431553
AJ Griffin,39,79.24528301886792,127.2,44.65408805031446,3.45145,126.405,0.41770000000000007,5.87855,10.3846,9.81931,63.05,16.9,1,1,2022,78,0.4512109248670196
Aaron Gordon,38,42.22222222222222,105.5,35.55555555555556,2.86228,115.064,0.2571,2.89022,12.3684,2.35011,50.27,23.2,1,1,2014,80,0.32148398465950506
Aaron Holiday,101,80.63026072675015,108.55970149253731,42.38297872340426,3.6010871641791047,118.91508358208955,0.37430746268656717,3.3826714029850744,15.776114925373136,7.716124179104478,58.3055223880597,24.501492537313432,0,3,2018,73,0.40526197910900125
Aaron Nesmith,46,82.51618871415357,114.05999999999999,40.45351473922902,3.7181640000000002,119.01473333333334,0.34723333333333334,3.4441649333333335,16.61664,11.912106666666666,60.59400000000001,21.62,0,2,2020,78,0.4393836902752274
Aaron Wiggins,95,76.81818181818181,104.5672,35.62214113172637,2.9113749600000003,113.83978400000001,0.32288799999999995,3.2263105600000004,11.768764000000001,10.3335744,52.59,21.7664,1,3,2021,78,0.3617727415282613
Abdel Nader,116,73.10488058151608,93.24900662251656,32.72917392819797,1.417764748344371,101.7645238410596,0.34120728476821194,-0.5912951258278147,10.913903311258279,8.445897218543047,51.08662251655629,24.8841059602649,0,4,2016,78,0.3756206160311416
Admiral Schofield,131,74.46774451736835,109.50658682634732,39.849286803624295,2.927829341317365,119.43837125748502,0.4060676646706587,3.127479940119761,12.856454491017965,8.250980538922155,55.65377245508982,22.71377245508982,0,4,2019,78,0.35947365498540035
Adreian Payne,136,76.11101033919826,108.80179640718563,41.43302180685358,2.6713771137724556,118.49808622754489,0.37557245508982035,1.6398841317365267,10.353315568862277,3.360694173652694,58.64934131736526,22.394011976047906,1,4,2014,82,0.19247429410149863
Al-Farouq Aminu,62,69.0909090909091,102.66666666666667,25.146198830409354,3.0917800000000004,115.137,0.3048528991971454,2.4927966666666665,14.870966666666664,3.306156666666667,53.75,25.933333333333334,1,2,2010,81,0.3138746208485692
Alec Burks,65,81.53086783556799,116.41960784313727,30.484664013111683,5.45366431372549,136.730137254902,0.412143137254902,6.2849611764705875,19.666664705882354,4.4154229411764705,59.0221568627451,30.64509803921569,0,2,2011,78,0.4132554527911539
Alex Caruso,137,70.39375665129478,103.25862068965517,34.699135638297875,1.872164528735632,106.07620459770115,0.2652281609195402,2.4079232770114944,7.994244827586206,4.149469367816092,55.24091954022988,19.417241379310344,0,4,2016,77,0.3693568764566406
Alex Len,60,67.83227848101265,109.53469387755104,12.063492063492061,2.57697693877551,114.15145102040816,0.3205816326530612,1.6061708163265307,10.561185714285715,0.3923055918367347,56.87346938775511,21.297959183673473,0,2,2013,85,0.24539107344131167
Alfonzo McKinnie,90,59.203835536829864,97.8603305785124,30.187590187590185,0.8399607438016529,97.73378760330579,0.3335305785123967,-2.7709846280991735,7.33059090909091,2.9802938016528926,52.868925619834705,21.291735537190085,0,4,2015,80,0.3290765670930542
Allen Crabbe,98,81.73000265745416,110.60916030534352,37.333999417176635,4.115779999999999,119.48903816793893,0.426512213740458,4.29505854961832,16.366390839694656,9.50083396946565,57.04778625954199,22.681679389312976,0,3,2013,78,0.4535758284525877
Allonzo Trier,78,84.31889309833635,121.82162162162163,37.84172661870503,4.840118378378379,131.0931081081081,0.3939351351351351,5.289411081081082,17.162156756756758,9.169362972972973,63.506216216216224,23.351351351351354,1,3,2018,77,0.3690873310968965
Alonzo Gee,63,64.58863443596269,103.83225806451613,34.718100890207715,3.0306883870967742,113.0753870967742,0.36635869759143624,2.557014516129032,14.946274193548387,5.0439925806451615,50.51935483870968,24.94838709677419,1,4,2009,78,0.27824248961996595
Amir Coffey,87,73.75809935205184,106.2609756097561,31.597147179598007,3.346991707317073,115.95390243902438,0.32524634146341463,2.9390490243902443,15.089443902439022,5.794213658536586,54.704390243902445,22.902439024390247,1,3,2019,80,0.3883531223365681
Amir Johnson,85,63.96573080099092,91.90796460176992,31.707725825372883,0.22912847787610618,87.12884336283186,0.3926446527673617,-1.3620654424778762,9.139048672566373,5.965971415929203,46.22823008849557,18.371681415929203,0,4,2010,69,0.23898187522444736
Andre Drummond,34,29.545454545454547,100.7,0.0,2.01686,106.362,0.2571,0.789686,10.0,0.127848,50.93,20.8,0,1,2012,82,0.08274856546126105
Andre Roberson,102,57.347213370157924,106.81353383458647,34.808351511374255,2.419217443609023,110.02482706766916,0.2714834586466165,2.5733018045112783,9.86466917293233,2.942200676691729,55.70518796992481,19.672932330827066,0,3,2013,79,0.21630025866711994
Andrew Harrison,79,78.11987259916997,108.54915254237288,37.21601153984854,2.719165423728814,116.84693220338981,0.2727305084745763,3.5473549152542376,9.84743559322034,5.409449491525423,52.27576271186442,21.8,1,2,2015,78,0.2902613805341922
Andrew Nembhard,131,80.47244094488188,113.41411042944786,35.275080906148865,3.329350981595092,115.93065644171779,0.4170895705521473,3.9043340490797545,10.349698773006136,6.16249472392638,54.80699386503068,18.770552147239265,1,4,2022,77,0.3448670223242219
Andrew Nicholson,122,73.2666855547011,111.99870129870129,40.38976857490864,3.88390512987013,123.29611688311688,0.43773156446586425,2.069063571428572,17.37663896103896,1.6678953246753248,61.963766233766236,26.61948051948052,0,4,2012,81,0.27742437924859237
Andrew Wiggins,35,77.5330396475771,112.3,34.12698412698413,4.24085,125.83600000000001,0.3354,4.66538,17.0571,6.31169,56.34,25.1,1,1,2014,80,0.3554179539075074
Anthony Bennett,34,69.64285714285714,112.8,38.297872340425535,3.70621,124.60599999999998,0.4341,3.58896,15.7941,5.8596,60.35999999999999,25.7,1,1,2013,80,0.22785436656686706
Anthony Davis,40,70.93596059113301,133.8,15.0,5.9035,138.825,0.3846,7.549629999999999,14.175,0.9312590000000001,65.41,19.1,1,1,2012,82,0.23986743447829387
Anthony Edwards,31,76.96969696969697,103.0,29.11392405063291,3.75334,118.582,0.3033,3.54187,19.0625,12.7939,51.73,28.8,1,1,2020,77,0.4551176240930176
Anthony Gill,139,69.65501674128137,116.31931818181816,46.57142857142857,3.536719204545454,127.32514772727272,0.35763579545454544,3.450559681818181,11.176146022727274,0.4732642420454544,59.91852272727274,23.22556818181818,0,4,2016,80,0.25476982077607546
Anthony Lamb,114,78.50687433900588,107.60136986301369,32.27639685574676,3.4063917808219175,120.68234246575342,0.3826054794520548,2.021797801369863,16.44777397260274,8.429639726027396,56.003013698630134,30.974657534246578,0,4,2020,78,0.3976299113559421
Anthony Morrow,32,85.8974358974359,124.4,44.751381215469614,4.44347,128.182,0.36635869759143624,6.46417,14.25,10.4847,61.12,18.4,0,4,2008,77,0.47419407180874623
Anthony Randolph,30,69.1358024691358,96.6,10.526315789473683,2.80644,109.517,0.36635869759143624,-0.851644,15.5806,1.1343399999999997,50.55,27.7,1,1,2008,82,0.17093655080547546
Archie Goodwin,33,63.67924528301887,96.9,26.5625,2.61308,109.137,0.2931,0.781192,14.1212,3.60856,50.91,27.2,1,1,2013,76,0.20962934426044122
Armoni Brooks,100,67.83322531864334,117.31313868613138,39.491226966857425,2.6244884817518246,118.02913868613138,0.3977978102189781,3.9989399999999993,10.471952554744526,15.423988321167885,56.68919708029197,18.232846715328463,0,3,2019,75,0.4968463510169305
Aron Baynes,68,73.47369855546471,113.17920792079207,65.34653465346535,3.493862475247525,122.32655445544555,0.3663586975914363,1.3494393564356435,11.930720792079208,0.07406981881188118,62.722772277227726,23.769306930693066,0,4,2009,82,0.24337504357854126
Austin Daye,66,75.40453074433657,104.86666666666666,43.946188340807176,2.3444666666666665,114.67933333333335,0.3663586975914363,0.6201213333333334,11.909133333333331,5.55473,57.24666666666667,25.266666666666662,1,2,2009,83,0.3759981376933138
Austin Reaves,122,84.7812953117448,113.75034013605442,34.45140680673301,3.244475646258503,121.32687074829934,0.36050816326530616,4.172079863945577,12.047620408163265,8.41809448979592,59.06210884353741,22.30952380952381,0,4,2021,77,0.3700537331931884
